"id";"nombre";"descripcion";"fkestado";"created_at";"updated_at"
"1";"Magisterio de Educación Infantil Bilingüe Intelcultural";"---";"5";"2018-10-17 23:35:43";"2018-10-19 17:34:29"
"2";"Perito en Administración";"---";"5";"2018-10-17 23:35:43";"2018-10-19 17:35:44"
"3";"Bachiller en Ciencias y Letras con Orientación en Educación";"--";"5";"2018-10-19 17:36:11";"2018-10-19 17:36:11"
"4";"Bachiller en Ciencias y Letras con Orientación en Computación";"--";"5";"2018-10-19 17:36:40";"2018-10-19 17:36:40"
